;70;71;7;14;23;72;2;13;39;73;20;25;54;11;38;57;74;59;68;63;9;75;6;4;76;28;18;77;22;78;24;65;29;58;79;3;5;43;64;50;21;19;10;17;15;80;81;31;32;56;34;36;41;35;42;37;8
63;;;;;;;0,4;0,3;;;0,4;;;;;;;;;;;;;;;;0,2;;;;;0,4;;;;;;;;;;;;;;;;;;;;0,1;;;;;
9;;;;;;;0,3;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;
75;;;;;;;0,2;;0,3;;;0,4;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;0,2;;;;;;;;;;;;;;0,4;;
6;;;;;;;;0,2;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;
4;;;;;;;;;0,2;;;;;;;;;;;;;;;;0,2;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;0,1;;;;;;;;;;;;0,1;;;0,4;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;
18;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;;;;;;;;;;;0,3;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;
78;;;;;;;;;;;;0,3;;0,2;;;;;0,2;;;;;0,2;;;;0,2;;;;0,3;;;;;0,1;;;;;;;0,3;;;;;;0,3;;;;0,1;;;0,3
24;;;;;;;;;;;;0,2;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;0,1
65;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;0,4;0,1;;;0,4;;;;;;;;;;0,3;;;;;;;;;;;;0,2;;;;;0,3;;;0,2;;;;;;0,3;;;
79;;;;;;;;;;;;;;0,1;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;
3;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;0,1;;;;;;;0,2
5;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;;;;;;;0,3;;0,3;;;;0,3;;0,4;;;;;0,2;;;;;;0,3;;;;;0,4;;;;;;;;;0,2;;;;
64;;;;;;;;;;;;;;;;;;;0,1;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;0,1;0,3;
50;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;0,4
10;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;0,1;
17;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;0,2;0,1;;;;0,3;;;;;;;;;;0,4;;;;;;;0,4;;;
15;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;0,3;;;;0,3;;;;;0,2;0,3;;;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;
81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;0,3;;;0,2;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;0,1;;;;;;0,3;;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;0,1;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;0,1;;;;
36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;0,3;;;;
41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;0,2;;;;;;;;;0,1;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;0,2;0,1;;;;;0,2;
42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;0,4;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;0,4;;0,2;;;;;;;;;0,4;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;
71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;0,4;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;0,4;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;0,4;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;
73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;
20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;
25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4; 
